Reference of FaultHunter coding rule violations,,,,
,Write Outside Buffer Size,CPPCHECK_WOBS,VULNERABILITY,Blocker
Conditional Rules,Assign If Error,CPPCHECK_AIE,BUG,Minor
,Clarify Condition,CPPCHECK_CCOND,CODE_SMELL,Minor
,Comparison Error,CPPCHECK_CE,BUG,Minor
,Comparison Function Is Always True Or False,CPPCHECK_CFIATOF,BUG,Critical
,Incorrect Logic Operator,CPPCHECK_ILO,BUG,Critical
,Mismatching Bit And,CPPCHECK_MBA,BUG,Minor
,Modulo Always True False,CPPCHECK_MATF,BUG,Critical
,Multi Condition,CPPCHECK_MCOND,BUG,Minor
,Opposite Inner Condition,CPPCHECK_OIC,BUG,Critical
,Redundant Condition,CPPCHECK_RCOND,BUG,Minor
Division Rules,Zerodiv,CPPCHECK_ZD,VULNERABILITY,Blocker
,Zerodivcond,CPPCHECK_ZDC,VULNERABILITY,Critical
Exception Rules,Catch Exception By Value,CPPCHECK_CEBV,BUG,Minor
,Except Dealloc Throw,CPPCHECK_EDT,VULNERABILITY,Critical
,Except Rethrow Copy,CPPCHECK_ERC,CODE_SMELL,Minor
,Except Throw In Attribute No Throw Function,CPPCHECK_ETIANTF,BUG,Blocker
,Except Throw In Declspec No Throw Function,CPPCHECK_ETIDNTF,BUG,Blocker
,Except Throw In Destructor,CPPCHECK_ETID,VULNERABILITY,Critical
,Except Throw In No Throw Function,CPPCHECK_ETINTF,BUG,Blocker
,Except Throw In Noexecpt Function,CPPCHECK_ETINF,BUG,Blocker
,Unhandled Exception Specification,CPPCHECK_UES,BUG,Minor
Initialization Rules,Deadpointer,CPPCHECK_DP,VULNERABILITY,Blocker
,Uninit Struct Member,CPPCHECK_UISM,VULNERABILITY,Blocker
,Uninitstring,CPPCHECK_UiS,VULNERABILITY,Blocker
,Uninitvar,CPPCHECK_UIV,VULNERABILITY,Blocker
Input Output Rules,Cout Cerr Misusage,CPPCHECK_CCM,VULNERABILITY,Blocker
,Fflush On Input Stream,CPPCHECK_FOIS,BUG,Minor
,IO Without Positioning,CPPCHECK_IOWP,BUG,Blocker
,Invalid Length Modifier Error,CPPCHECK_ILME,BUG,Critical
,Invalid Printf Arg Type_float,CPPCHECK_IPATF,BUG,Critical
,Invalid Printf Arg Type_int,CPPCHECK_IPATI,BUG,Critical
,Invalid Printf Arg Type_n,CPPCHECK_IPATN,BUG,Critical
,Invalid Printf Arg Type_p,CPPCHECK_IPATP,BUG,Critical
,Invalid Printf Arg Type_s,CPPCHECK_IPATS,BUG,Critical
,Invalid Printf Arg Type_sint,CPPCHECK_IPATSI,BUG,Critical
,Invalid Printf Arg Type_uint,CPPCHECK_IPATUI,BUG,Critical
,Invalid Scanf,CPPCHECK_IS,VULNERABILITY,Critical
,Invalid Scanf Arg Type_float,CPPCHECK_ISATF,VULNERABILITY,Critical
,Invalid Scanf Arg Type_int,CPPCHECK_ISATI,VULNERABILITY,Critical
,Invalid Scanf Arg Type_s,CPPCHECK_ISATS,VULNERABILITY,Critical
,Invalid Scanf Format Width,CPPCHECK_ISFW,VULNERABILITY,Blocker
,Invalid Scanf Format Width_smaller,CPPCHECK_ISFWS,VULNERABILITY,Critical
,Invalid Scanf LibC,CPPCHECK_ISL,VULNERABILITY,Minor
,Read Write Only File,CPPCHECK_RWOF,BUG,Blocker
,Seek On Appended File,CPPCHECK_SOAF,BUG,Critical
,Use Closed File,CPPCHECK_UCF,BUG,Blocker
,Write Read Only File,CPPCHECK_WROF,BUG,Blocker
,Wrong Printf Scanf Arg Num,CPPCHECK_WPSAN,BUG,Blocker
,Wrong Printf Scanf Parameter Position Error,CPPCHECK_WPSPPE,VULNERABILITY,Critical
Memory Handling Rules,Auto Variables,CPPCHECK_AV,VULNERABILITY,Blocker
,Autovar Invalid Deallocation,CPPCHECK_AID,VULNERABILITY,Blocker
,Dealloc Dealloc,CPPCHECK_DD,BUG,Blocker
,Deallocret,CPPCHECK_DAR,BUG,Blocker
,Deallocuse,CPPCHECK_DU,BUG,Blocker
,Double Free,CPPCHECK_DF,BUG,Blocker
,Ignored Return Value,CPPCHECK_IRV,VULNERABILITY,Critical
,Incomplete Array Fill,CPPCHECK_IAF,VULNERABILITY,Critical
,Invalid Free,CPPCHECK_IF,BUG,Blocker
,Leak No Var Function Call,CPPCHECK_LNVFC,VULNERABILITY,Blocker
,Memleak,CPPCHECK_ML,VULNERABILITY,Blocker
,Memleak On Realloc,CPPCHECK_MOR,VULNERABILITY,Blocker
,Mismatch Alloc Dealloc,CPPCHECK_MAD,VULNERABILITY,Blocker
,Mismatch Size,CPPCHECK_MS,VULNERABILITY,Blocker
,Null Pointer,CPPCHECK_NP,VULNERABILITY,Blocker
,Public Allocation Error,CPPCHECK_PAE,VULNERABILITY,Critical
,Resource Leak,CPPCHECK_RL,VULNERABILITY,Blocker
,Return Address Of Auto Variable,CPPCHECK_RAOAV,VULNERABILITY,Blocker
,Return Address Of Function Parameter,CPPCHECK_RAOFP,VULNERABILITY,Blocker
,Return Local Variable,CPPCHECK_RLV,VULNERABILITY,Blocker
,Return Reference,CPPCHECK_RF,VULNERABILITY,Blocker
,Return Temp Reference,CPPCHECK_RTF,VULNERABILITY,Blocker
,Unsafe Class Can Leak,CPPCHECK_UCCL,VULNERABILITY,Minor
,Useless Assignment Arg,CPPCHECK_UAA,CODE_SMELL,Minor
,Useless Assignment Ptr Arg,CPPCHECK_UAPARG,VULNERABILITY,Critical
Object Orientedness Rules,Copy Ctor Pointer Copying,CPPCHECK_CCPC,BUG,Minor
,Dupl Inherited Member,CPPCHECK_DIM,BUG,Critical
,Function Const,CPPCHECK_FC,CODE_SMELL,Minor
,Function Static,CPPCHECK_FS,CODE_SMELL,Major
,Malloc On Class Error,CPPCHECK_MOCE,VULNERABILITY,Blocker
,Malloc On Class Warning,CPPCHECK_MOCW,VULNERABILITY,Critical
,Memset Class,CPPCHECK_MC,VULNERABILITY,Blocker
,Memset Class Float,CPPCHECK_MCF,BUG,Minor
,Memset Class Reference,CPPCHECK_MCR,VULNERABILITY,Blocker
,No Constructor,CPPCHECK_NC,BUG,Minor
,No Copy Constructor,CPPCHECK_NCC,BUG,Minor
,Operator Eq,CPPCHECK_OE,CODE_SMELL,Minor
,Operator Eq Ret Ref This,CPPCHECK_OERRT,CODE_SMELL,Minor
,Operator Eq To Self,CPPCHECK_OETS,BUG,Critical
,Operator Eq Var Error,CPPCHECK_OEVE,BUG,Critical
,Pure Virtual Call,CPPCHECK_PVC,BUG,Critical
,Self Initialization,CPPCHECK_SI,BUG,Blocker
,This Subtraction,CPPCHECK_TS,BUG,Critical
,Uninit Member Var,CPPCHECK_UMV,VULNERABILITY,Critical
,Unused Private Function,CPPCHECK_UPF,CODE_SMELL,Minor
,Use Initialization List,CPPCHECK_UIL,CODE_SMELL,Major
,Virtual Destructor,CPPCHECK_VD,VULNERABILITY,Blocker
Performance Rules,Passed By Value,CPPCHECK_PBV,CODE_SMELL,Major
,Postfix Operator,CPPCHECK_PO,CODE_SMELL,Major
,Redundant Assignment,CPPCHECK_RA,CODE_SMELL,Major
,Redundant Copy,CPPCHECK_RCPY,CODE_SMELL,Major
,Redundant Copy Local Const,CPPCHECK_RCLC,CODE_SMELL,Major
Portability Rules,Assignment Address To Integer,CPPCHECK_AATI,CODE_SMELL,Minor
,Assignment Integer To Address,CPPCHECK_AITA,CODE_SMELL,Minor
,Cast Address To Integer At Return,CPPCHECK_CATIAR,CODE_SMELL,Minor
,Cast Integer To Address At Return,CPPCHECK_CITAAR,CODE_SMELL,Minor
,Unnecessary Qualification,CPPCHECK_UQ,CODE_SMELL,Minor
Readability and Consistency Rules,Clarify Calculation,CPPCHECK_CCALC,CODE_SMELL,Minor
,Clarify Statement,CPPCHECK_CSTAT,CODE_SMELL,Critical
,Comma Separated Return,CPPCHECK_CSR,CODE_SMELL,Minor
,Cstyle Cast,CPPCHECK_CSC,CODE_SMELL,Minor
,Suspicious Semicolon,CPPCHECK_SS,CODE_SMELL,Critical
,Variable Hiding Enum,CPPCHECK_VHE,CODE_SMELL,Minor
,Variable Hiding Typedef,CPPCHECK_VHT,CODE_SMELL,Minor
,Variable Scope,CPPCHECK_VS,CODE_SMELL,Minor
Reentrancy Rules,Nonreentrant Functions crypt,CPPCHECK_NRFCR,CODE_SMELL,Minor
,Nonreentrant Functions ctermid,CPPCHECK_NRFCT,CODE_SMELL,Minor
,Nonreentrant Functions ecvt,CPPCHECK_NRFEC,CODE_SMELL,Minor
,Nonreentrant Functions fcvt,CPPCHECK_NRFFC,CODE_SMELL,Minor
,Nonreentrant Functions fgetgrent,CPPCHECK_NRFFGG,CODE_SMELL,Minor
,Nonreentrant Functions fgetpwent,CPPCHECK_NRFFGP,CODE_SMELL,Minor
,Nonreentrant Functions fgetspent,CPPCHECK_NRFFGS,CODE_SMELL,Minor
,Nonreentrant Functions gcvt,CPPCHECK_NRFGC,CODE_SMELL,Minor
,Nonreentrant Functions getgrent,CPPCHECK_NRFGG,CODE_SMELL,Minor
,Nonreentrant Functions getgrgid,CPPCHECK_NRFGGG,CODE_SMELL,Minor
,Nonreentrant Functions getgrnam,CPPCHECK_NRFGGN,CODE_SMELL,Minor
,Nonreentrant Functions gethostbyaddr,CPPCHECK_NRFGHBA,CODE_SMELL,Minor
,Nonreentrant Functions gethostbyname,CPPCHECK_NRFGHBN,CODE_SMELL,Minor
,Nonreentrant Functions gethostbyname2,CPPCHECK_NRFGHBN2,CODE_SMELL,Minor
,Nonreentrant Functions gethostent,CPPCHECK_NRFGH,CODE_SMELL,Minor
,Nonreentrant Functions getlogin,CPPCHECK_NRFGL,CODE_SMELL,Minor
,Nonreentrant Functions getnetbyaddr,CPPCHECK_NRFGNBA,CODE_SMELL,Minor
