,Use Array List Instead Of Vector,FH_UALIOV,CODE_SMELL,Minor,
,Use String Buffer For String Appends,FH_USBFSA,CODE_SMELL,Major,
Security Code Guideline Rules,Array Is Stored Directly,FH_AISD,BUG,Major,
Strict Exception Rules,Avoid Catching NPE,FH_ACNPE,BUG,Critical,
,Avoid Catching Throwable,FH_ACT,BUG,Major,
,Avoid Rethrowing Exception,FH_ARE,CODE_SMELL,Minor,
,Avoid Throwing Null Pointer Exception,FH_ATNPE,CODE_SMELL,Critical,
,Avoid Throwing Raw Exception Types,FH_ATRET,CODE_SMELL,Major,
String and StringBuffer Rules,Use Equals To Compare Strings,FH_UETCS,BUG,Critical,
Type Resolution Rules,Loose Coupling,FH_LoC,CODE_SMELL,Major,
,Unused Imports,FH_UnI,CODE_SMELL,Minor,
Unnecessary and Unused Code Rules,Unused Local Variable,FH_ULV,CODE_SMELL,Major,
,Unused Private Field,FH_UPF,CODE_SMELL,Major,
,Unused Private Method,FH_UPM,CODE_SMELL,Major,
,,,,,
Reference of PMD coding rule violations,,,,,
Category,Name,Abbreviation,,Prio.,
Basic Rules,Avoid Branching Statement As Last In Loop,PMD_ABSALIL,CODE_SMELL,Major,
,Avoid Decimal Literals In Big Decimal Constructor,PMD_ADLIBDC,BUG,Critical,
,Avoid Multiple Unary Operators,PMD_AMUO,CODE_SMELL,Major,
,Avoid Thread Group,PMD_ATG,BUG,Critical,
,Avoid Using Hard Coded IP,PMD_AUHCIP,CODE_SMELL,Major,
,Avoid Using Octal Values,PMD_AUOV,BUG,Critical,
,Big Integer Instantiation,PMD_BII,CODE_SMELL,Minor,
,Boolean Instantiation,PMD_BI,CODE_SMELL,Minor,
,Broken Null Check,PMD_BNC,BUG,Critical,
,Check Result Set,PMD_CRS,BUG,Critical,
,Check Skip Result,PMD_CSR,CODE_SMELL,Critical,
,Class Cast Exception With To Array,PMD_CCEWTA,BUG,Critical,
,Collapsible If Statements,PMD_CIS,CODE_SMELL,Minor,
,Dont Call Thread Run,PMD_DCTR,BUG,Critical,
,Dont Use Float Type For Loop Indices,PMD_DUFTFLI,BUG,Critical,
,Double Checked Locking,PMD_DCL,BUG,Critical,
,Empty Catch Block,PMD_ECB,BUG,Critical,
,Empty Finally Block,PMD_EFB,CODE_SMELL,Minor,
,Empty If Stmt,PMD_EIS,CODE_SMELL,Major,
,Empty Statement Block,PMD_EmSB,CODE_SMELL,Minor,
,Empty Statement Not In Loop,PMD_ESNIL,CODE_SMELL,Minor,
,Empty Static Initializer,PMD_ESI,CODE_SMELL,Minor,
,Empty Switch Statements,PMD_ESS,CODE_SMELL,Major,
,Empty Synchronized Block,PMD_ESB,CODE_SMELL,Major,
,Empty Try Block,PMD_ETB,CODE_SMELL,Major,
,Empty While Stmt,PMD_EWS,BUG,Critical,
,Extends Object,PMD_EO,CODE_SMELL,Minor,
,For Loop Should Be While Loop,PMD_FLSBWL,CODE_SMELL,Minor,
,Jumbled Incrementer,PMD_JI,BUG,Critical,
,Misplaced Null Check,PMD_MNC,BUG,Critical,
,Override Both Equals And Hashcode,PMD_OBEAH,BUG,Critical,
,Return From Finally Block,PMD_RFFB,BUG,Critical,
,Unconditional If Statement,PMD_UIS,BUG,Major,
,Unnecessary Conversion Temporary,PMD_UCT,CODE_SMELL,Minor,
,Unused Null Check In Equals,PMD_UNCIE,BUG,Critical,
,Useless Operation On Immutable,PMD_UOOI,BUG,Critical,
,Useless Overriding Method,PMD_UOM,CODE_SMELL,Minor,
Brace Rules,For Loops Must Use Braces,PMD_FLMUB,CODE_SMELL,Minor,
,If Else Stmts Must Use Braces,PMD_IESMUB,CODE_SMELL,Minor,
,If Stmts Must Use Braces,PMD_ISMUB,CODE_SMELL,Minor,
,While Loops Must Use Braces,PMD_WLMUB,CODE_SMELL,Minor,
Clone Implementation Rules,Clone Throws Clone Not Supported Exception,PMD_CTCNSE,BUG,Major,
,Proper Clone Implementation,PMD_PCI,BUG,Critical,
Controversial Rules,Assignment In Operand,PMD_AIO,CODE_SMELL,Minor,
,Avoid Accessibility Alteration,PMD_AAA,CODE_SMELL,Major,
,Avoid Prefixing Method Parameters,PMD_APMP,CODE_SMELL,Minor,
,Avoid Using Native Code,PMD_AUNC,CODE_SMELL,Major,
,Default Package,PMD_DP,CODE_SMELL,Minor,
,Do Not Call Garbage Collection Explicitly,PMD_DNCGCE,CODE_SMELL,Major,
,Dont Import Sun,PMD_DIS,BUG,Major,
,One Declaration Per Line,PMD_ODPL,CODE_SMELL,Minor,
,Suspicious Octal Escape,PMD_SOE,CODE_SMELL,Major,
,Unnecessary Constructor,PMD_UC,CODE_SMELL,Minor,
Design Rules,Abstract Class Without Abstract Method,PMD_ACWAM,CODE_SMELL,Minor,
,Abstract Class Without Any Method,PMD_AbCWAM,CODE_SMELL,Minor,
,Assignment To Non Final Static,PMD_ATNFS,BUG,Critical,
,Avoid Constants Interface,PMD_ACI,CODE_SMELL,Minor,
,Avoid Instanceof Checks In Catch Clause,PMD_AICICC,CODE_SMELL,Major,
,Avoid Protected Field In Final Class,PMD_APFIFC,CODE_SMELL,Minor,
,Avoid Protected Method In Final Class Not Extending,PMD_APMIFCNE,CODE_SMELL,Minor,
,Avoid Reassigning Parameters,PMD_ARP,CODE_SMELL,Minor,
,Avoid Synchronized At Method Level,PMD_ASAML,CODE_SMELL,Minor,
,Bad Comparison,PMD_BC,BUG,Critical,
,Class With Only Private Constructors Should Be Final,PMD_CWOPCSBF,CODE_SMELL,Minor,
,Close Resource,PMD_ClR,BUG,Critical,
